recid,radate,assignmt,site,training,afdc,sex,class_tr,ojt_jsa,oth_serv,bdate,age,earnings,prevearn,married,pbhous,hsorged,black,hispanic,f2sms,wkless13,newern01,newern02,newern03,newern04,newern05,newern06,newern07,newern08,newern09,newern10,newern11,newern12,newern13,newern14,newern15,newern16,newern17,newern18,newern19,newern20,newern21,newern22,newern23,newern24,newern25,newern26,newern27,newern28,newern29,newern30,bifrsp,employed_01,employed_02,employed_03,employed_04,employed_05,employed_06,employed_07,employed_08,employed_09,employed_10,employed_11,employed_12,employed_13,employed_14,employed_15,employed_16,employed_17,employed_18,employed_19,employed_20,employed_21,employed_22,employed_23,employed_24,employed_25,employed_26,employed_27,employed_28,employed_29,employed_30,frac_months_employed,outcome,bfeduca,reasonsa,reasonsb,reasonsc,reject
309888,08/10/88,0,IN,0,0,1,0,0,1,06/06/53,35,27071,4000,0,0,1,0,0,0,0,0,0,0,0,155,155,155,0,0,0,0,0,0,0,0,0,0,0,0,2069,2069,2069,2921,2921,2921,2182,2182,2182,2545,2545,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,.46666667,0,13,Not Chosen,Control,Other,Did not reject
309889,03/08/88,0,LC,0,0,1,0,0,1,09/24/53,34,26955,1200,0,0,1,0,0,0,0,721,721,721,1062,1062,1062,724,724,724,993,993,993,915,915,915,1033,1033,1033,1155,1155,1155,179,179,179,1056,1056,1056,1147,1147,1147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,Not Chosen,Other,No Other,Did not reject
309890,03/16/88,0,JK,0,0,1,1,0,0,05/01/49,38,2622,7000,1,0,1,1,0,0,0,794,794,794,0,0,0,80,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2,0,12,Not Chosen,No Other,Missing,Did not reject
309891,07/28/88,1,LC,0,0,1,0,0,1,10/19/53,34,23796,4103.9111,0,0,1,0,0,0,.40733594,1254,1254,855,855,855,794,794,794,1316,1316,1316,1080,1080,1080,936,936,936,902,902,902,948,948,948,265,265,265,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,.86666667,1,16,No Choice,No Other,Missing,Did not reject
309892,10/07/88,0,SM,0,0,0,1,0,0,11/16/64,23,34472,11885,1,0,1,0,0,1,0,1164,1203,1203,1086,1203,1164,1203,1168,1218,1218,1179,1218,1179,1218,1218,1100,1218,1179,1207,1071,1107,1107,1071,1107,1071,1107,1107,1000,1107,1071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,Not Chosen,No Other,Missing,Did not reject
309895,07/28/89,1,IN,0,0,1,0,1,0,08/21/59,29,47342,4103.9111,.33528507,0,1,1,0,1,0,0,0,1289,1289,1289,1436,1436,1436,1592,1592,1592,1606,1606,1606,1819,1819,1819,1662,1662,1662,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.93333334,1,12,Missing,Missing,Missing,Did not reject
309896,02/13/89,1,SM,0,0,1,0,1,0,09/03/53,35,8100,5000,0,0,1,0,0,0,0,453,599,599,599,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,Missing,Missing,Missing,Did not reject
309902,12/15/88,1,NE,0,0,0,1,0,0,02/28/50,38,309,0,0,0,1,0,0,0,1,0,0,0,0,0,0,103,103,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,14,Not Chosen,No Other,Missing,Did not reject
309903,05/27/88,1,JK,1,0,1,1,0,0,05/28/63,24,76260,6000,1,0,1,1,0,1,0,0,330,2555,2473,2555,2473,2555,1731,3434,3943,3815,3943,3815,3943,3943,3815,3943,3815,3943,3943,3561,3899,733,750,733,750,750,733,750,2634,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.96666664,1,13,Missing,Missing,Missing,Did not reject
309904,03/10/88,1,IN,1,0,0,1,0,0,12/22/52,35,20520,2444.656,0,0,1,0,0,0,0,889,889,889,1120,1120,1120,1244,1244,1244,1229,1229,1229,1040,1040,1040,747,747,747,571,571,571,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,.69999999,1,09,Needed Job,Took Job,Can't afford,Did not reject
309906,08/02/89,0,IN,0,0,1,0,0,1,04/08/43,46,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Not Chosen,No Other,Missing,Did not reject
309907,12/20/88,1,LC,1,0,1,0,0,1,12/29/59,28,2280,2400,1,0,1,0,0,0,0,7,7,7,0,0,0,0,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,284,284,284,455,455,455,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,.40000001,0,12,Missing,Missing,Missing,Did not reject
